Year,Gender,Discipline,Name,Country,Result,Date
2017,men,10000m,Mo FARAH,GBR,26:49.51,04 AUG 2017
2017,women,800m,Caster SEMENYA,RSA,1:55.16,13 AUG 2017
2017,women,1500m,Sifan HASSAN,NED,3:56.14,11 JUN 2017
2017,women,5000m,Hellen OBIRI,KEN,14:18.37,08 JUN 2017
2017,women,10000m,Almaz AYANA,ETH,30:16.32,05 AUG 2017
2018,men,800m,Emmanuel Kipkurui KORIR,KEN,1:42.05,22 JUL 2018
2018,men,1500m,Timothy CHERUIYOT,KEN,3:28.41,20 JUL 2018
2018,men,5000m,Selemon BAREGA,ETH,12:43.02,31 AUG 2018
2018,men,10000m,Stanley Waithaka MBURU,KEN,27:13.01,10 NOV 2018
2018,women,800m,Caster SEMENYA,RSA,1:54.25,30 JUN 2018
2018,women,1500m,Genzebe DIBABA,ETH,3:56.68,08 JUN 2018
2018,women,5000m,Hellen OBIRI,KEN,14:21.75,13 JUL 2018
2018,women,10000m,Pauline KAMULU,KEN,30:41.85,11 JUL 2018
2019,men,800m,Nijel AMOS,BOT,1:41.89,12 JUL 2019
2019,men,1500m,Timothy CHERUIYOT,KEN,3:28.77,05 JUL 2019
2019,men,5000m,Telahun Haile BEKELE,ETH,12:52.98,06 JUN 2019
2019,men,10000m,Joshua CHEPTEGEI,UGA,26:48.36,06 OCT 2019
2019,women,800m,Caster SEMENYA,RSA,1:54.98,03 MAY 2019
2019,women,1500m,Sifan HASSAN,NED,3:51.95,05 OCT 2019
2019,women,5000m,Hellen OBIRI,KEN,14:20.36,21 JUL 2019
2019,women,10000m,Sifan HASSAN,NED,30:17.62,28 SEP 2019
2020,men,800m,Donavan BRAZIER,USA,1:43.15,14 AUG 2020
2020,men,1500m,Timothy CHERUIYOT,KEN,3:28.45,14 AUG 2020
2020,men,5000m,Joshua CHEPTEGEI,UGA,12:35.36,14 AUG 2020
2020,men,10000m,Joshua CHEPTEGEI,UGA,26:11.00,07 OCT 2020
2020,women,800m,Faith KIPYEGON,KEN,1:57.68,25 SEP 2020
2020,women,1500m,Laura MUIR,GBR,3:57.40,13 SEP 2020
2020,women,5000m,Letesenbet GIDEY,ETH,14:06.62,07 OCT 2020
2020,women,10000m,Sifan HASSAN,NED,29:36.67,10 OCT 2020
2021,men,800m,Nijel AMOS,BOT,1:42.91,09 JUL 2021
2021,men,1500m,Timothy CHERUIYOT,KEN,3:28.28,09 JUL 2021
2021,men,5000m,Jakob INGEBRIGTSEN,NOR,12:48.45,10 JUN 2021
2021,men,10000m,Jacob KIPLIMO,UGA,26:33.93,19 MAY 2021
2021,women,800m,Athing MU,USA,1:55.04,21 AUG 2021
2021,women,1500m,Faith KIPYEGON,KEN,3:51.07,09 JUL 2021
2021,women,5000m,Gudaf TSEGAY,ETH,14:13.32,08 JUN 2021
2021,women,10000m,Letesenbet GIDEY,ETH,29:01.03,08 JUN 2021
2022,men,800m,Emmanuel Kipkurui KORIR,KEN,1:43.26,08 SEP 2022
2022,men,1500m,Jakob INGEBRIGTSEN,NOR,3:29.02,08 SEP 2022
2022,men,5000m,Jacob KROP,KEN,12:45.71,02 SEP 2022
2022,men,10000m,Grant FISHER,USA,26:33.84,06 MAR 2022
2022,women,800m,Athing MU,USA,1:56.30,24 JUL 2022
2022,women,1500m,Faith KIPYEGON,KEN,3:50.37,10 AUG 2022
2022,women,5000m,Ejgayehu TAYE,ETH,14:12.98,27 MAY 2022
2022,women,10000m,Letesenbet GIDEY,ETH,30:09.94,16 JUL 2022
2023,men,800m,Emmanuel WANYONYI,KEN,1:42.80,17 SEP 2023
2023,men,1500m,Jakob INGEBRIGTSEN,NOR,3:27.14,16 JUL 2023
2023,men,5000m,Berihu AREGAWI,ETH,12:40.45,30 JUN 2023
2023,men,10000m,Berihu AREGAWI,ETH,26:50.66,23 JUN 2023
2023,women,800m,Athing MU,USA,1:54.97,17 SEP 2023
2023,women,1500m,Faith KIPYEGON,KEN,3:49.11,02 JUN 2023
2023,women,5000m,Gudaf TSEGAY,ETH,14:00.21,17 SEP 2023
2023,women,10000m,Gudaf TSEGAY,ETH,29:29.73,23 JUN 2023
2024,men,800m,Emmanuel WANYONYI,KEN,1:41.11,22 AUG 2024
2024,men,1500m,Jakob INGEBRIGTSEN,NOR,3:26.73,12 JUL 2024
2024,men,5000m,Hagos GEBRHIWET,ETH,12:36.73,30 MAY 2024
2024,men,10000m,Yomif KEJELCHA,ETH,26:31.01,14 JUN 2024
2024,women,800m,Keely HODGKINSON,GBR,1:54.61,20 JUL 2024
2024,women,1500m,Faith KIPYEGON,KEN,3:49.04,07 JUL 2024
2024,women,5000m,Beatrice CHEBET,KEN,14:09.52,05 SEP 2024
2024,women,10000m,Beatrice CHEBET,KEN,28:54.14,25 MAY 2024
